File Name,Events,Total Entries,Total Exits,Total Writes,Total Reads,Total CFP,LOC,Gate Count,Circuit Width,Qubit Connectivity
HarveyGW_QuEST\A&B.py,3,3,3,1,0,7,34,2,2,1
husisy_learning\python\qiskit\draft_transpiler.py,8,18,18,0,0,36,137,8,7,7
iitis_ec-qaoa-code\qaoa_xy_mixer.py,3,3,3,0,0,6,156,3,1,0
Ikraam04_Analysing_QEC\my_color.py,3,0,0,3,0,3,237,0,0,0
ivo53_qiskit_experiments\backup\gate_test_20220414.py,1,1,1,0,0,2,50,1,1,0
JaimePSantos_Dissertation-Tex-Code\Coding\Qiskit\CoinedQuantumWalk\runWalk.py,3,0,0,3,0,3,414,0,0,0
JaimePSantos_Dissertation-Tex-Code\Coding\Qiskit\CoinedQuantumWalk\Search\runSearch.py,2,0,0,2,0,2,253,0,0,0
jainbhawu_Qurify-Dataset\HHL.py,3,3,3,0,0,6,9,3,1,0
JanusQ_Choco-Q\chocoq\solvers\qiskit\circuit_analyzer\metrics.py,4,8,8,0,0,16,128,4,2,2
jeppevinkel_CompleteHHL\hhl.py,2,0,0,2,0,2,125,0,0,0
jorgecs_CompositionCircuits\qaoa.py,2,0,0,2,0,2,28,0,0,0
jorgecs_CompositionCircuits\simon.py,6,0,0,6,0,6,39,0,0,0
JoseCarlos458_qiskit\test\python\transpiler\test_template_matching.py,139,195,195,0,0,390,754,139,4,5
Jrbiltmore_TALON\advanced_optimization.py,2,3,3,0,0,6,185,2,2,1
juniper-souravsaha_qiskit-learning\experiments\bv_multi_hidden.py,4,1,1,3,0,5,82,1,1,0
JustinHughesFirebringer_test-directory\quantum_folding_circuit.py,3,1,1,2,0,4,478,1,1,0
jxerome_quantum-book\p32.py,11,11,11,0,0,22,78,11,1,0
kaistermaister1_QNNs\SHORA\shora_loss_landscape.py,42,55,55,0,0,110,220,42,4,4
Kavitesh_projects\quantum-computing\hello_world.py,2,1,1,1,0,3,22,1,1,0
kunalgarg013_SuperPositron\quantum_algorithms\discovery_RL\custom_discovery.py,11,16,16,0,0,32,354,11,3,2
lanl_Quantum-Telecloning\create_telecloning_circuits.py,47,57,57,2,0,116,415,45,3,3
lanl_qubit-efficient-entanglement-spectroscopy\entSpectroscopy.py,55,0,0,55,0,55,998,0,0,0
lastatfirst_QuSCII\app.py,5,5,5,1,0,11,178,4,2,1
LBNL-HEP-QIS_QCLatticeJLabTutorial\lattice_qft\lattice_qft\core\arithmetic_pkg\arithmetic copy.py,30,30,30,0,0,60,885,30,1,0
Linghua-Zhu_RL-Quantum-Measurement-Optimization\codes\env.py,33,36,36,3,0,75,233,30,2,1
lsunol_transmitingaqubit\quantum\povm.py,15,9,9,9,0,27,790,6,3,3
LuisMi1245_QPath-and-Snakes\circuit.py,1,1,1,0,0,2,44,1,2,0
"mainak-bhattacharyya_QAOA_Viterbi\example_notebooks\[6,3]_code_viterbi_uniform_solrate_vs_p Jan 24.py",52,75,75,1,0,151,589,51,6,12
MarzioVallero_qufi\circuits\Deutsch_Jozsa.py,2,1,1,1,0,3,58,1,1,0
Mattbusel_Quantum-Neural-Network-Model-The-Future-of-AI-Cognition\QNN.py,4,5,5,1,0,11,72,3,3,2
MaukWM_QGAN\qgan2.py,7,2,2,5,0,9,424,2,3,0
mgabijo_The-two-site-Heisenberg-model-on-a-quantum-computer\vqe.py,3,0,0,3,0,3,139,0,0,0
mihaelastoycheva_QuantumAlgorithm-EarlyCancerPrediction\src\others\test\terra\backends\aer_simulator\test_initialize.py,10,29,29,0,0,58,238,10,6,8
NahidaNahida_mstcs\code\Identity\id_RQ1.py,2,0,0,2,0,2,150,0,0,0
nairobi02_py\two.py,4,5,5,0,0,10,105,4,2,1
natanil-m_benchmark_vqs\Analysis\qiskit\HPC_main1.py,4,4,4,0,0,8,297,4,1,0
nckuasrlab_QOPS\qfusion-opt\qiskit-aer\test\terra\backends\aer_simulator\test_initialize.py,10,29,29,0,0,58,238,10,6,8
NiloGregginz33_QMGRExperiments\src\experiments\direct_hardware_test.py,4,4,4,1,0,9,135,3,2,1
noelmt7_Quantum_Phase_Estimation\app.py,5,4,4,1,0,9,87,4,1,0
omalled_quantum-woodbury\ex.py,6,3,3,3,0,9,221,3,1,0
oreilly-qc_oreilly-qc.github.io\samples\Qiskit\ch03_06_remote_random.py,2,0,0,2,0,2,46,0,0,0
otilki_sboxlist\results\impqiskit_CB892E4DAF713506_1.py,14,30,30,0,0,60,35,14,4,6
